,host_is_superhost,host_has_profile_pic,host_identity_verified,host_listings_count,host_total_listings_count,is_location_exact,accommodates,bathrooms,bedrooms,beds,guests_included,minimum_nights,maximum_nights,price,instant_bookable,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_duration,property_type_Apartment,property_type_Condominium,property_type_House,property_type_Loft,property_type_Other,property_type_Townhouse,host_response_rate_buckets_100 %,host_response_rate_buckets_Below 100 %,host_response_rate_buckets_No response rate tracked,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,host_response_time_a few days or more,host_response_time_within a day,host_response_time_within one or a few hours,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict_14_with_grace_period,cancellation_policy_super_strict_30,cancellation_policy_super_strict_60,property_type_Bed & Breakfast,cancellation_policy_strict
11577,False,True,False,2.0,2.0,True,3,1.0,2.0,2.0,3,1,90,80.0,False,89,4.66,95.0,10.0,10.0,9.0,10.0,9.0,10.0,1037.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
11578,False,True,False,7.0,7.0,True,6,1.0,2.0,3.0,4,2,1123,145.0,True,4,0.3,80.0,9.0,9.0,10.0,10.0,9.0,8.0,632.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
11579,False,True,False,7.0,7.0,True,6,1.0,2.0,3.0,4,2,1123,145.0,True,1,0.21,60.0,6.0,10.0,10.0,10.0,4.0,6.0,632.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
11580,False,True,False,1.0,1.0,True,2,1.0,1.0,1.0,1,10,20,50.0,True,2,0.11,100.0,10.0,10.0,10.0,10.0,10.0,10.0,2360.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
11581,False,True,False,13.0,13.0,True,4,1.0,1.0,2.0,1,1,1125,37.0,False,6,0.35,93.0,10.0,10.0,10.0,10.0,10.0,10.0,1022.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
11582,False,True,False,7.0,7.0,True,11,2.0,5.0,7.0,6,2,1123,240.0,True,21,1.06,86.0,8.0,8.0,9.0,9.0,8.0,9.0,632.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
11583,False,True,False,1.0,1.0,True,2,1.0,1.0,2.0,1,1,1125,20.0,True,1,0.05,100.0,10.0,10.0,10.0,10.0,10.0,10.0,942.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
11584,False,True,False,1.0,1.0,True,3,1.0,1.0,2.0,1,2,5,80.0,True,0,1.1355252709518162,94.41386334856577,9.663965156026023,9.32495452290392,9.713520971302428,9.73067166648285,9.505490866949948,9.41110559143346,792.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
11585,False,True,False,1.0,1.0,False,3,1.0,1.0,2.0,1,6,1125,36.0,False,3,0.16,60.0,8.0,4.0,10.0,8.0,10.0,8.0,1608.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
11586,True,True,False,2.0,2.0,False,4,1.5,2.0,3.0,1,3,30,170.0,False,31,1.63,94.0,9.0,10.0,9.0,10.0,10.0,9.0,628.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
11587,False,True,False,1.0,1.0,True,2,1.0,1.0,2.0,1,7,1125,40.0,False,11,0.56,87.0,9.0,9.0,10.0,10.0,10.0,9.0,628.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
11588,True,True,False,2.0,2.0,True,4,1.0,2.0,2.0,1,2,15,125.0,False,5,0.26,96.0,10.0,10.0,10.0,10.0,10.0,10.0,704.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
11589,False,True,False,1.0,1.0,True,1,1.0,1.0,1.0,1,7,30,36.0,True,0,1.1355252709518162,94.41386334856577,9.663965156026023,9.32495452290392,9.713520971302428,9.73067166648285,9.505490866949948,9.41110559143346,1692.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
11590,False,True,True,1.0,1.0,False,4,1.0,1.0,4.0,1,5,1125,78.0,False,3,0.29,100.0,9.0,10.0,10.0,10.0,9.0,10.0,2263.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
11591,False,True,False,1.0,1.0,True,1,1.0,1.0,1.0,1,14,30,14.0,True,2,0.1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,627.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
11592,True,True,False,1.0,1.0,True,1,1.0,1.0,1.0,1,1,14,32.0,False,28,1.35,99.0,10.0,10.0,10.0,10.0,10.0,10.0,627.0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
11593,False,True,True,1.0,1.0,True,2,1.0,1.0,1.0,1,4,56,30.0,False,15,0.8,96.0,9.0,9.0,9.0,9.0,9.0,9.0,627.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
