,host_is_superhost,host_has_profile_pic,host_identity_verified,host_listings_count,host_total_listings_count,is_location_exact,accommodates,bathrooms,bedrooms,beds,guests_included,minimum_nights,maximum_nights,price,instant_bookable,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_duration,property_type_Apartment,property_type_Bed & Breakfast,property_type_Condominium,property_type_House,property_type_Loft,property_type_Other,property_type_Townhouse,host_response_rate_buckets_100 %,host_response_rate_buckets_Below 100 %,host_response_rate_buckets_No response rate tracked,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,host_response_time_a few days or more,host_response_time_within a day,host_response_time_within one or a few hours,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict,cancellation_policy_super_strict_30,cancellation_policy_super_strict_60,cancellation_policy_strict_14_with_grace_period
948,False,True,False,1.0,1.0,False,1,1.0,1.0,1.0,1,1,1125,60.0,False,0,1.970908448214916,91.91666666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.646548608601373,9.414042707202317,9.16823444283647,4,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0
949,False,True,True,363.0,363.0,True,4,1.0,1.0,2.0,2,3,1125,229.0,True,17,1.4,91.0,10.0,10.0,10.0,9.0,9.0,9.0,936,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
950,False,True,True,4.0,4.0,True,6,2.0,2.0,3.0,1,1,1125,234.0,True,57,5.61,94.0,10.0,10.0,9.0,10.0,9.0,9.0,1230,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
951,False,True,True,363.0,363.0,True,4,2.0,2.0,2.0,2,3,1125,329.0,True,29,2.23,96.0,10.0,10.0,9.0,10.0,9.0,9.0,936,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
952,False,True,True,363.0,363.0,True,4,1.0,1.0,2.0,1,3,1125,209.0,True,1,0.12,80.0,10.0,10.0,8.0,10.0,8.0,8.0,936,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
953,True,True,True,1.0,1.0,True,2,1.0,0.0,1.0,2,3,90,195.0,False,56,1.8,96.0,10.0,10.0,10.0,10.0,10.0,9.0,1863,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
954,False,True,True,363.0,363.0,True,4,1.0,1.0,2.0,2,3,1125,169.0,True,1,0.09,100.0,10.0,10.0,10.0,10.0,10.0,10.0,936,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
955,False,True,True,4.0,4.0,True,2,1.0,0.0,1.0,2,2,1125,145.0,False,5,2.73,96.0,10.0,10.0,10.0,10.0,10.0,10.0,94,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
956,False,True,False,11.0,11.0,True,2,1.0,0.0,1.0,1,2,1125,219.0,False,22,2.99,90.0,9.0,10.0,10.0,10.0,10.0,9.0,304,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
957,False,True,True,1.0,1.0,True,1,1.0,1.0,1.0,1,14,365,150.0,False,7,0.74,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1598,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
